TIME,SOURCE,DESTINATION,RATE_MBPS,RTT_MS,JITTER_MS,CWND,RTX_OUT,LOST_OUT,RTX_TOT
65.883589,10.0.0.1:56084,10.0.0.2:5000,6,133,0.225,77,0,0,252
65.884811,10.0.0.1:56084,10.0.0.2:5000,6,133,0.248,77,0,0,252
65.890764,10.0.0.1:56084,10.0.0.2:5000,6,133,0.287,77,0,0,252
65.895933,10.0.0.1:56084,10.0.0.2:5000,6,132,0.344,77,0,0,252
65.902300,10.0.0.1:56084,10.0.0.2:5000,6,132,0.321,77,0,0,252
65.903840,10.0.0.1:56084,10.0.0.2:5000,6,132,0.378,77,0,0,252
65.906272,10.0.0.1:56084,10.0.0.2:5000,6,132,0.403,77,0,0,252
65.908406,10.0.0.1:56084,10.0.0.2:5000,6,132,0.313,77,0,0,252
65.910588,10.0.0.1:56084,10.0.0.2:5000,6,132,0.338,77,0,0,252
65.912743,10.0.0.1:56084,10.0.0.2:5000,6,132,0.281,77,0,0,252
65.920037,10.0.0.1:56084,10.0.0.2:5000,6,132,0.282,77,0,0,252
65.926117,10.0.0.1:56084,10.0.0.2:5000,6,132,0.249,77,0,0,252
65.945694,10.0.0.1:56084,10.0.0.2:5000,6,132,0.361,77,0,0,252
65.949498,10.0.0.1:56084,10.0.0.2:5000,6,132,0.314,77,0,0,252
65.950886,10.0.0.1:56084,10.0.0.2:5000,6,132,0.315,77,0,0,252
65.954834,10.0.0.1:56084,10.0.0.2:5000,6,132,0.317,77,0,0,252
65.956040,10.0.0.1:56084,10.0.0.2:5000,6,132,0.328,77,0,0,252
65.961663,10.0.0.1:56084,10.0.0.2:5000,6,132,0.251,77,0,0,252
65.963861,10.0.0.1:56084,10.0.0.2:5000,6,132,0.458,77,0,0,252
65.974777,10.0.0.1:56084,10.0.0.2:5000,6,132,0.417,77,0,0,252
65.975530,10.0.0.1:56084,10.0.0.2:5000,6,132,0.479,77,0,0,252
65.980720,10.0.0.1:56084,10.0.0.2:5000,6,132,0.525,77,0,0,252
65.987136,10.0.0.1:56084,10.0.0.2:5000,6,132,0.596,77,0,0,252
65.987545,10.0.0.1:56084,10.0.0.2:5000,6,133,0.676,77,0,0,252
65.989590,10.0.0.1:56084,10.0.0.2:5000,6,132,0.678,77,0,0,252
65.995277,10.0.0.1:56084,10.0.0.2:5000,6,132,0.604,77,0,0,252
65.997274,10.0.0.1:56084,10.0.0.2:5000,6,133,0.619,77,0,0,252
66.001072,10.0.0.1:56084,10.0.0.2:5000,6,133,0.639,77,0,0,252
66.001331,10.0.0.1:56084,10.0.0.2:5000,6,133,0.665,77,0,0,252
66.006487,10.0.0.1:56084,10.0.0.2:5000,6,133,0.710,78,0,0,252
66.007253,10.0.0.1:56084,10.0.0.2:5000,6,133,0.620,78,0,0,252
66.007342,10.0.0.1:56084,10.0.0.2:5000,6,133,0.553,78,0,0,252
66.010953,10.0.0.1:56084,10.0.0.2:5000,6,133,0.564,78,0,0,252
66.011220,10.0.0.1:56084,10.0.0.2:5000,6,134,0.587,78,0,0,252
66.014717,10.0.0.1:56084,10.0.0.2:5000,6,134,0.455,78,0,0,252
